order_idx,alpha,trial,rc,decode_tokens,tok_per_sec
1,0.25,1,0,2048,29.469
2,2,1,0,2048,27.092
3,0.5,2,0,2048,28.765
4,0,1,0,2048,29.601
5,2,2,0,2048,26.99
6,0.75,3,0,2048,28.563
7,1,3,0,2048,28.288
8,1.5,2,0,2048,27.548
9,0.5,3,0,2048,28.734
10,1.5,1,0,2048,27.622
11,0.25,3,0,2048,29.064
12,0.75,2,0,2048,28.402
13,0,2,0,2048,29.8
14,0,3,0,2048,29.618
15,1,2,0,2048,28.231
16,0.5,1,0,2048,28.505
17,1,1,0,2048,28.231
18,0.75,1,0,2048,28.549
19,1.5,3,0,2048,27.593
20,0.25,2,0,2048,29.029
21,2,3,0,2048,26.958
