order_idx,alpha,trial,t_start_iso,t_end_iso,duration_s,tok_per_sec
1,0.75,1,2026-07-10T20:08:39,2026-07-10T20:09:54,74.7,28.063
2,1.5,5,2026-07-10T20:09:54,2026-07-10T20:11:12,78.2,26.915
3,1.5,4,2026-07-10T20:11:12,2026-07-10T20:12:33,80.8,26.072
4,0,1,2026-07-10T20:12:33,2026-07-10T20:13:56,83.8,25.063
5,2,1,2026-07-10T20:13:56,2026-07-10T20:15:36,99.3,21.082
6,0,2,2026-07-10T20:15:36,2026-07-10T20:17:15,99.0,21.223
7,1,3,2026-07-10T20:17:15,2026-07-10T20:18:48,93.5,22.372
8,0.25,2,2026-07-10T20:18:48,2026-07-10T20:20:18,89.9,23.411
9,2,3,2026-07-10T20:20:18,2026-07-10T20:21:48,89.5,23.479
10,1.5,1,2026-07-10T20:21:48,2026-07-10T20:23:15,87.0,24.171
11,0.25,3,2026-07-10T20:23:15,2026-07-10T20:24:38,83.9,25.047
12,2,4,2026-07-10T20:24:38,2026-07-10T20:26:06,87.9,23.808
13,2,5,2026-07-10T20:26:06,2026-07-10T20:27:34,87.9,23.949
14,0.25,4,2026-07-10T20:27:34,2026-07-10T20:28:57,83.3,25.223
15,0.25,1,2026-07-10T20:28:57,2026-07-10T20:30:21,83.8,25.124
16,2,2,2026-07-10T20:30:21,2026-07-10T20:31:50,88.3,23.742
17,0.5,5,2026-07-10T20:31:50,2026-07-10T20:33:13,83.9,24.985
18,1,4,2026-07-10T20:33:13,2026-07-10T20:34:39,85.4,24.646
19,0.75,4,2026-07-10T20:34:39,2026-07-10T20:36:03,84.5,24.769
20,0.75,3,2026-07-10T20:36:03,2026-07-10T20:37:28,84.4,24.883
21,1.5,3,2026-07-10T20:37:28,2026-07-10T20:38:54,86.0,24.378
22,1,2,2026-07-10T20:38:54,2026-07-10T20:40:18,84.4,24.82
23,0.5,1,2026-07-10T20:40:18,2026-07-10T20:41:42,83.4,25.237
24,0,4,2026-07-10T20:41:42,2026-07-10T20:43:04,81.9,25.682
25,0.75,2,2026-07-10T20:43:04,2026-07-10T20:44:28,84.4,24.8
26,0.5,3,2026-07-10T20:44:28,2026-07-10T20:45:52,83.9,25.07
27,0.5,2,2026-07-10T20:45:52,2026-07-10T20:47:16,83.9,24.967
28,1,1,2026-07-10T20:47:16,2026-07-10T20:48:43,87.5,23.999
29,0,3,2026-07-10T20:48:43,2026-07-10T20:50:14,90.4,23.27
30,0,5,2026-07-10T20:50:14,2026-07-10T20:51:47,93.3,22.384
31,1.5,2,2026-07-10T20:51:47,2026-07-10T20:53:25,97.5,21.555
32,0.5,4,2026-07-10T20:53:25,2026-07-10T20:55:00,95.8,21.841
33,1,5,2026-07-10T20:55:00,2026-07-10T20:56:39,98.3,21.341
34,0.75,5,2026-07-10T20:56:39,2026-07-10T20:58:18,98.9,21.169
35,0.25,5,2026-07-10T20:58:18,2026-07-10T20:59:58,99.9,21.015
